epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.32314,1.8246,3.58943,1.22778,0.04167,0.45558,0.0342,0.01589,1.40276,3.43302,0.98105,6e-05,6e-05,6e-05
2,12.2924,1.66186,3.37104,1.17457,0.06146,0.67198,0.05254,0.02544,1.5682,3.34539,0.97157,0.000137228,0.000137228,0.000137228
3,15.9413,1.4543,2.50165,1.01921,0.0675,0.73804,0.07873,0.02879,1.62633,3.34405,0.9981,0.000211288,0.000211288,0.000211288
4,19.924,1.57335,1.41533,0.97416,0.07062,0.77221,0.0759,0.03026,1.56043,3.34135,0.98621,0.00028218,0.00028218,0.00028218
5,23.7932,1.74065,1.22392,1.03867,0.07125,0.77904,0.07489,0.03135,1.53778,3.33193,0.98361,0.000349904,0.000349904,0.000349904
6,26.7654,1.63064,1.09453,0.99046,0.0725,0.79271,0.08625,0.03852,1.5743,3.31555,0.9979,0.00041446,0.00041446,0.00041446
7,30.0944,1.53244,1.13538,1.05118,0.07375,0.80638,0.09505,0.04356,1.49908,3.31962,0.96584,0.000475848,0.000475848,0.000475848
8,33.9569,1.44387,1.07863,0.95971,0.07604,0.83144,0.10222,0.04308,1.55155,3.31862,0.9794,0.000534068,0.000534068,0.000534068
9,37.8094,1.33301,0.93398,0.95077,0.07021,0.76765,0.08049,0.03636,1.48654,3.33489,0.97638,0.00058912,0.00058912,0.00058912
10,40.9231,1.37981,0.89863,0.9683,0.07375,0.80638,0.09698,0.04352,1.50432,3.31783,0.97522,0.000641004,0.000641004,0.000641004
11,43.5622,1.23889,0.95983,0.98459,0.0725,0.79271,0.08233,0.03594,1.51644,3.34074,0.98457,0.00068972,0.00068972,0.00068972
12,46.6896,1.30524,0.88811,0.95128,0.06854,0.74943,0.07528,0.03266,1.50312,3.33569,0.98966,0.000735268,0.000735268,0.000735268
13,49.3714,1.27593,0.94721,0.96844,0.06479,0.70843,0.06707,0.02907,1.60876,3.37634,1.02725,0.000777648,0.000777648,0.000777648
14,52.3758,1.30012,0.8922,0.9994,0.06625,0.72437,0.06257,0.0283,1.56077,3.28889,1.00097,0.00081686,0.00081686,0.00081686
15,54.9816,1.2624,0.82445,0.93402,0.07354,0.8041,0.09539,0.0413,1.55317,3.25457,1.01406,0.000852904,0.000852904,0.000852904
16,58.0195,1.35413,0.86775,0.94937,0.06792,0.7426,0.08043,0.03584,1.57689,3.26585,1.00517,0.00088578,0.00088578,0.00088578
17,61.0532,1.2747,0.88003,0.93133,0.07083,0.77449,0.09789,0.0424,1.57922,3.22349,1.00399,0.000915488,0.000915488,0.000915488
18,64.1238,1.39989,0.8623,1.00223,0.06542,0.71526,0.29452,0.14438,1.5603,3.07585,0.99768,0.000942028,0.000942028,0.000942028
19,67.141,1.25986,0.8275,0.94842,0.06896,0.75399,0.39884,0.20091,1.5395,3.03201,0.99068,0.0009654,0.0009654,0.0009654
20,70.9634,1.31213,0.8814,0.9212,0.06375,0.69704,0.34185,0.16537,1.53759,3.09275,1.00252,0.000985604,0.000985604,0.000985604
21,73.5563,1.24922,0.82005,0.9274,0.05646,0.61731,0.34688,0.17377,1.57866,3.0642,1.0104,0.00100264,0.00100264,0.00100264
22,76.8466,1.25502,0.78712,0.95494,0.055,0.60137,0.39051,0.19778,1.58081,3.02012,1.02863,0.00101651,0.00101651,0.00101651
23,79.9004,1.21955,0.84039,0.99392,0.05875,0.64237,0.47901,0.25002,1.57381,2.9164,1.01508,0.00102721,0.00102721,0.00102721
24,83.3858,1.25125,0.76776,0.93824,0.06445,0.69932,0.54164,0.27873,1.6295,2.82172,1.02008,0.00103474,0.00103474,0.00103474
25,87.1839,1.28686,0.79005,0.94241,0.89941,0.32589,0.56532,0.29557,1.59504,2.71705,1.0119,0.0010391,0.0010391,0.0010391
26,90.8908,1.22044,0.81354,0.91445,0.93338,0.2234,0.54817,0.2954,1.57358,2.54672,1.00714,0.00101,0.00101,0.00101
27,93.9363,1.19371,0.72885,0.92905,0.90226,0.28474,0.54014,0.29173,1.57304,2.40651,1.00683,0.0009704,0.0009704,0.0009704
28,96.5514,1.24357,0.89568,0.96244,0.87467,0.38152,0.54928,0.28846,1.60857,2.25299,1.0273,0.0009308,0.0009308,0.0009308
29,99.583,1.10694,0.86195,0.91518,0.8312,0.42623,0.55167,0.2877,1.58698,2.12805,1.02656,0.0008912,0.0008912,0.0008912
30,102.669,1.14821,0.72164,0.9071,0.80603,0.50168,0.60003,0.31316,1.52524,1.97867,1.00819,0.0008516,0.0008516,0.0008516
31,106.095,1.22457,0.79168,0.98095,0.79884,0.54275,0.63795,0.32901,1.4951,1.84385,1.01188,0.000812,0.000812,0.000812
32,109.585,1.23707,0.73703,0.93693,0.80094,0.54075,0.66423,0.34487,1.49483,1.78478,1.01659,0.0007724,0.0007724,0.0007724
33,113.442,1.34475,0.77664,0.91559,0.84392,0.5296,0.6966,0.36423,1.49768,1.77077,1.00632,0.0007328,0.0007328,0.0007328
34,116.376,1.26661,0.81215,1.01956,0.84922,0.5467,0.71211,0.37606,1.49043,1.71121,1.00421,0.0006932,0.0006932,0.0006932
35,120.805,1.17821,0.79838,1.01582,0.83041,0.5877,0.71803,0.38042,1.48894,1.57891,1.00903,0.0006536,0.0006536,0.0006536
36,124.644,1.24309,0.72169,0.92846,0.7892,0.62254,0.72222,0.39004,1.48268,1.44334,1.00963,0.000614,0.000614,0.000614
37,128.483,1.19936,0.74186,0.9196,0.76671,0.64009,0.73307,0.40841,1.47017,1.33469,1.00058,0.0005744,0.0005744,0.0005744
38,131.499,1.32884,0.73453,0.98103,0.74822,0.68369,0.74262,0.40106,1.49992,1.21457,1.01058,0.0005348,0.0005348,0.0005348
39,134.625,0.97168,0.80612,0.90213,0.76018,0.68596,0.75135,0.39153,1.5146,1.12656,1.01636,0.0004952,0.0004952,0.0004952
40,137.624,1.09781,0.66961,0.91404,0.75554,0.68994,0.75242,0.39375,1.48397,1.09526,1.00904,0.0004556,0.0004556,0.0004556
41,142.368,1.14732,0.70075,0.95459,0.74048,0.69704,0.74817,0.39691,1.46057,1.11149,1.00365,0.000416,0.000416,0.000416
42,145.219,1.07903,0.88344,0.98726,0.74011,0.69409,0.74536,0.39637,1.47173,1.14577,1.00893,0.0003764,0.0003764,0.0003764
43,147.839,1.05043,0.67194,0.94616,0.72999,0.69021,0.7441,0.3955,1.48239,1.15468,1.01198,0.0003368,0.0003368,0.0003368
44,150.856,1.14918,0.78954,0.91305,0.72372,0.70387,0.75148,0.40208,1.48708,1.09773,1.01396,0.0002972,0.0002972,0.0002972
45,153.917,1.36228,0.75527,0.9913,0.72206,0.70387,0.75875,0.40711,1.47952,1.01962,1.01174,0.0002576,0.0002576,0.0002576
46,157.738,1.02714,0.61711,0.90921,0.7098,0.71754,0.76097,0.40869,1.47248,0.95263,1.00975,0.000218,0.000218,0.000218
47,161.393,0.99205,0.68827,0.94906,0.70323,0.7125,0.76347,0.4085,1.47724,0.90967,1.01375,0.0001784,0.0001784,0.0001784
48,164.782,0.96129,0.57827,0.86985,0.70382,0.71754,0.76753,0.41187,1.48529,0.88383,1.01641,0.0001388,0.0001388,0.0001388
49,168.602,0.98125,0.57244,0.89728,0.71043,0.71071,0.76519,0.41352,1.48722,0.87453,1.01685,9.92e-05,9.92e-05,9.92e-05
50,172.438,0.90553,0.87393,0.8776,0.74177,0.69359,0.76492,0.41177,1.48372,0.8691,1.01489,5.96e-05,5.96e-05,5.96e-05
